user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
10548,1,0.1545,197,RU,Rusia,USD,cluster_majority
10549,1,0.1545,197,RU,Rusia,USD,cluster_majority
10550,1,0.1545,197,RU,Rusia,USD,cluster_majority
10551,1,0.1545,197,RU,Rusia,USD,cluster_majority
10555,1,0.1545,197,RU,Rusia,USD,cluster_majority
10560,1,0.1545,197,RU,Rusia,USD,cluster_majority
10561,1,0.1545,197,RU,Rusia,USD,cluster_majority
10565,1,0.1545,197,RU,Rusia,USD,cluster_majority
10575,1,0.1545,197,RU,Rusia,USD,cluster_majority
10576,1,0.1545,197,RU,Rusia,USD,cluster_majority
10577,1,0.1545,197,RU,Rusia,USD,cluster_majority
10578,1,0.1545,197,RU,Rusia,USD,cluster_majority
10582,0,0.0204,29,BR,Brasil,USD,cluster_majority
10594,1,0.1545,197,RU,Rusia,USD,cluster_majority
10604,1,0.1545,197,RU,Rusia,USD,cluster_majority
10609,0,0.0204,29,BR,Brasil,USD,cluster_majority
10610,1,0.1545,197,RU,Rusia,USD,cluster_majority
10611,1,0.1545,197,RU,Rusia,USD,cluster_majority
10616,1,0.1545,197,RU,Rusia,USD,cluster_majority
10617,1,0.1545,197,RU,Rusia,USD,cluster_majority
10621,1,0.1545,197,RU,Rusia,USD,cluster_majority
10627,1,0.1545,197,RU,Rusia,USD,cluster_majority
10647,1,0.1545,197,RU,Rusia,USD,cluster_majority
10648,1,0.1545,197,RU,Rusia,USD,cluster_majority
10649,1,0.1545,197,RU,Rusia,USD,cluster_majority
10652,1,0.1545,197,RU,Rusia,USD,cluster_majority
10660,1,0.1545,197,RU,Rusia,USD,cluster_majority
10666,1,0.1545,197,RU,Rusia,USD,cluster_majority
10667,1,0.1545,197,RU,Rusia,USD,cluster_majority
10668,1,0.1545,197,RU,Rusia,USD,cluster_majority
10669,1,0.1545,197,RU,Rusia,USD,cluster_majority
10673,1,0.1545,197,RU,Rusia,USD,cluster_majority
10675,1,0.1545,197,RU,Rusia,USD,cluster_majority
10677,1,0.1545,197,RU,Rusia,USD,cluster_majority
10678,1,0.1545,197,RU,Rusia,USD,cluster_majority
10680,1,0.1545,197,RU,Rusia,USD,cluster_majority
10685,1,0.1545,197,RU,Rusia,USD,cluster_majority
10692,1,0.1545,197,RU,Rusia,USD,cluster_majority
10693,1,0.1545,197,RU,Rusia,USD,cluster_majority
10694,1,0.1545,197,RU,Rusia,USD,cluster_majority
10704,1,0.1545,197,RU,Rusia,USD,cluster_majority
10705,1,0.1545,197,RU,Rusia,USD,cluster_majority
10711,1,0.1545,197,RU,Rusia,USD,cluster_majority
10715,1,0.1545,197,RU,Rusia,USD,cluster_majority
